D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_32_463.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_32_463.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_32_463.jpg, 0, 0, 0, 7.827711E-05
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_32_567.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_32_567.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_32_567.jpg, 0, 0, 0, 7.897642E-05
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_32_671.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_32_671.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_32_671.jpg, 0, 0, 0, 7.77615E-05
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_32_773.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_32_773.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_32_773.jpg, 0, 0, 0, 7.782847E-05
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_32_879.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_32_879.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_32_879.jpg, 0, 0, 0, 7.820662E-05
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_32_984.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_32_984.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_32_984.jpg, 0, 0, 0, 7.98955E-05
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_33_091.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_33_091.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_33_091.jpg, 0, 0, 0, 7.82174E-05
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_33_196.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_33_196.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_33_196.jpg, 0, 0, 0, 7.954866E-05
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_33_302.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_33_302.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_33_302.jpg, 0, 0, 0, 7.891317E-05
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_33_406.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_33_406.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_33_406.jpg, 0, 0, 0, 8.043969E-05
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_33_511.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_33_511.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_33_511.jpg, 0, 0, 0, 7.968652E-05
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_33_615.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_33_615.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_33_615.jpg, 0, 0, 0, 7.848466E-05
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_33_721.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_33_721.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_33_721.jpg, 0, 0, 0, 8.189568E-05
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_33_826.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_33_826.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_33_826.jpg, 0, 0, 0, 7.882105E-05
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_33_930.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_33_930.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_33_930.jpg, 0, 0, 0, 8.340943E-05
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_34_036.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_34_036.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_34_036.jpg, 0, 0.0431376, 0, 0.01959482
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_34_141.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_34_141.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_34_141.jpg, 0, 0.3589677, 0, 0.3122794
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_34_247.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_34_247.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_34_247.jpg, 0, 0.6541715, 0, 0.9104711
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_34_354.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_34_354.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_34_354.jpg, 0, 1, 0, 2.070197
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_34_459.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_34_459.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_34_459.jpg, 0, 1, 0, 3.19475
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_34_559.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_34_559.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_34_559.jpg, -0.1739208, 1, 0, 4.362406
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_34_662.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_34_662.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_34_662.jpg, -0.4356321, 1, 0, 5.495156
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_34_763.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_34_763.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_34_763.jpg, -0.1382253, 1, 0, 6.64793
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_34_867.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_34_867.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_34_867.jpg, 0, 1, 0, 7.781863
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_34_969.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_34_969.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_34_969.jpg, 0, 1, 0, 9.135062
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_35_073.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_35_073.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_35_073.jpg, -0.3107361, 1, 0, 10.22383
D:\simulator-windows-64\data\IMG\center_2024_08_12_19_10_35_175.jpg, D:\simulator-windows-64\data\IMG\left_2024_08_12_19_10_35_175.jpg, D:\simulator-windows-64\data\IMG\right_2024_08_12_19_10_35_175.jpg, -0.6153897, 1, 0, 11.22976
